ANO_ELEICAO,ZONA,NUMERO_LOCAL_VOTACAO,LOCAL_VOTACAO,BAIRRO
2014,49,1082,COLEGIO ESTADUAL DOM JOAO BOSCO,ROCA GRANDE
2014,49,1406,COLEGIO ESTADUAL JOAO RIBEIRO DE CAMARGO,SAO GABRIEL
2014,49,1180,COLEGIO ESTADUAL PRESIDENTE ABRAHAN LINCOLN,CENTRO
2014,49,1392,COLEGIO ESTADUAL TANCREDO DE ALMEIDA NEVES,ARRUDA
2014,49,1015,COLEGIO PASSIONISTA ROSARIO,CENTRO
2014,49,1031,ESCOLA MUNICIPAL ANDRE NADOLNY,SAO GABRIEL
2014,49,1252,ESCOLA MUNICIPAL CARLOS FONTOURA FALAVINHA,SAO GABRIEL
2014,49,1287,ESCOLA MUNICIPAL CRISTOVAO COLOMBO,CENTRO
2014,49,1325,ESCOLA MUNICIPAL ELVIRA NODARI ALBERTI,ROCA GRANDE
2014,49,1201,ESCOLA MUNICIPAL GABRIEL D ANUNCIO STRAPASSON,OSASCO
2014,49,1104,ESCOLA MUNICIPAL IRMA MARIA ANTONIETA FARANI,CAPIVARI
2014,49,1376,ESCOLA MUNICIPAL ISOLINA CECCON,ARRUDA
2014,49,1350,ESCOLA MUNICIPAL JARDIM DAS FLORES,ROCA GRANDE
2014,49,1333,ESCOLA MUNICIPAL JARDIM GUARUJA,GUARAITUBA
2014,49,1139,ESCOLA MUNICIPAL JUSCELINO KUBITSCHECK,ARRUDA
2014,49,1198,ESCOLA MUNICIPAL PRESIDENTE CASTELO BRANCO,CAMPO PEQUENO
2014,49,1368,ESCOLA MUNICIPAL SANTA FE,SAO GABRIEL
2014,49,1384,ESCOLA MUNICIPAL VITORIO MANOEL FRANCESCHI,ROCA GRANDE
2014,49,1171,ESCOLA RURAL MUNICIPAL JOAO JOSE GASPARIN,POCO NEGRO
2014,49,1260,SALAO SANTA GEMMA GALGANI,SANTA GEMA
2014,186,1309,COLEGIO ESTADUAL ALFREDO CHAVES,RIO VERDE
2014,186,1341,COLEGIO ESTADUAL GENESIO MORESCHI,GUARAITUBA
2014,186,1023,COLEGIO ESTADUAL HELENA KOLODY,MONZA
2014,186,1279,COLEGIO ESTADUAL HERACLITO FONTOURA SOBRAL PINTO,MARACANA
2014,186,1287,COLEGIO ESTADUAL LUIZ SEBASTIAO BALDO,PALOMA
